symbol,company_name,isin,exchange,market_cap_cr,category
MAHABANK,Bank of maharashtra,INE457A01014,NSE,43641.82,Mid Cap
PGHH,Procter & Gamble Hygiene & Health Care Ltd.,INE179A01014,NSE,43177.43,Mid Cap
PETRONET,PETRONET LNG LTD.,INE347G01014,NSE,42177.53,Mid Cap
IREDA,Indian Renewable Energy Development Agency Limited,INE202E01016,NSE,41748.13,Mid Cap
ANTHEM,Anthem Biosciences Limited,INE0CZ201020,NSE,41546.93,Mid Cap
CONCOR,Container Corporation Of India Ltd.,INE111A01025,NSE,41502.38,Mid Cap
M&MFIN,Mahindra & Mahindra Financial Services Limited,INE774D01024,NSE,41377.26,Mid Cap
NATIONALUM,National Aluminium Co. Ltd.,INE139A01034,NSE,41316.31,Mid Cap
DALBHARAT,DALMIA BHARAT LIMITED,INE00R701025,NSE,41111.58,Mid Cap
JUBLFOOD,Jubilant Foodworks Limited,INE797F01020,NSE,40944.93,Mid Cap
KAYNES,KAYNES TECHNOLOGY INDIA LIMITED,INE918Z01012,NSE,40327.47,Mid Cap
ESCORTS,Escorts Kubota Limited,INE042A01014,NSE,40132.44,Mid Cap
RADICO,Radico Khaitan Ltd.,INE944F01028,NSE,40109.43,Mid Cap
FLUOROCHEM,Gujarat Fluorochemicals Limited,INE09N301011,NSE,39095.75,Mid Cap
ENDURANCE,Endurance Technologies Limited,INE913H01037,NSE,38669.69,Mid Cap
KEI,KEI Industries Ltd.,INE878B01027,NSE,38633.05,Mid Cap
ASTRAL,ASTRAL LIMITED,INE006I01046,NSE,38628.27,Mid Cap
THERMAX,Thermax Ltd.,INE152A01029,NSE,38585.04,Mid Cap
PWL,Physicswallah Limited,INE0LP301011,NSE,38484.77,Mid Cap
UCOBANK,UCO Bank,INE691A01018,NSE,38060.15,Mid Cap
BLUESTARCO,Blue Star Ltd,INE472A01039,NSE,37851.2,Mid Cap
NH,Narayana Hrudayalaya Limited,INE410P01011,NSE,37850.07,Mid Cap
TATAINVEST,Tata Investment Corporation Ltd.,INE672A01026,NSE,37807.03,Mid Cap
